Timestamp,Trade High,Trade Close,Trade Low,Trade Open
17/04/2013,1607.85,1607.85,1607.85,1607.85
16/04/2013,1609.72,1609.72,1609.72,1609.72
15/04/2013,1615.44,1615.44,1615.44,1615.44
12/04/2013,1631.29,1631.29,1631.29,1631.29
11/04/2013,1612.16,1612.16,1612.16,1612.16
10/04/2013,1601.44,1601.44,1601.44,1601.44
9/04/2013,1587.73,1587.73,1587.73,1587.73
8/04/2013,1585.19,1585.19,1585.19,1585.19
5/04/2013,1586.09,1586.09,1586.09,1586.09
4/04/2013,1575.25,1575.25,1575.25,1575.25
3/04/2013,1578.02,1578.02,1578.02,1578.02
2/04/2013,1576.67,1576.67,1576.67,1576.67
1/04/2013,1556.73,1556.73,1556.73,1556.73
29/03/2013,1578.11,1578.11,1578.11,1578.11
28/03/2013,1578.41,1578.41,1578.41,1578.41
27/03/2013,1581.37,1581.37,1581.37,1581.37
26/03/2013,1578.21,1578.21,1578.21,1578.21
25/03/2013,1573.02,1573.02,1573.02,1573.02
22/03/2013,1564.25,1564.25,1564.25,1564.25
21/03/2013,1549.38,1549.38,1549.38,1549.38
20/03/2013,1547.57,1547.57,1547.57,1547.57
19/03/2013,1543.28,1543.28,1543.28,1543.28
18/03/2013,1554.76,1554.76,1554.76,1554.76
15/03/2013,1570.12,1570.12,1570.12,1570.12
14/03/2013,1552.56,1552.56,1552.56,1552.56
13/03/2013,1534.52,1534.52,1534.52,1534.52
12/03/2013,1536.48,1536.4776,1536.48,1536.48
11/03/2013,1537.99,1537.99,1537.99,1537.99
8/03/2013,1532.08,1532.08,1532.08,1532.08
7/03/2013,1547.35,1547.35,1547.35,1547.35
6/03/2013,1541.79,1541.79,1541.79,1541.79
5/03/2013,1537.18,1537.18,1537.18,1537.18
4/03/2013,1523.58,1523.58,1523.58,1523.58
1/03/2013,1519.85,1519.85,1519.85,1519.85
28/02/2013,1525.39,1525.39,1525.39,1525.39
27/02/2013,1510.58,1510.58,1510.58,1510.58
26/02/2013,1499.6,1499.6,1499.6,1499.6
25/02/2013,1508.24,1508.24,1508.24,1508.24
22/02/2013,1511.08,1511.08,1511.08,1511.08
21/02/2013,1509.29,1509.29,1509.29,1509.29
20/02/2013,1525.04,1525.04,1525.04,1525.04
19/02/2013,1524.32,1524.19,1524.32,1524.32
18/02/2013,1510.16,1510.16,1510.16,1510.16
15/02/2013,1508.77,1508.77,1508.77,1508.77
14/02/2013,1514.76,1514.76,1514.76,1514.76
13/02/2013,1517.42,1517.42,1517.42,1517.42
12/02/2013,1518.25,1518.25,1518.25,1518.25
11/02/2013,1504.82,1504.82,1504.82,1504.82
8/02/2013,1514.79,1514.79,1514.79,1514.79
7/02/2013,1504.37,1504.37,1504.37,1504.37
6/02/2013,1508.68,1508.68,1508.68,1508.68
5/02/2013,1504.45,1504.45,1504.45,1504.45
4/02/2013,1506.69,1506.69,1506.69,1506.69
1/02/2013,1517.83,1517.83,1517.83,1517.83
31/01/2013,1512.98,1512.98,1512.98,1512.98
30/01/2013,1507.42,1507.42,1507.42,1507.42
29/01/2013,1500.98,1500.98,1500.98,1500.98
28/01/2013,1493.84,1493.84,1493.84,1493.84
25/01/2013,1499.38,1499.38,1499.38,1499.38
24/01/2013,1495.31,1495.31,1495.31,1495.31
23/01/2013,1497.37,1497.37,1497.37,1497.37
22/01/2013,1500.26,1500.26,1500.26,1500.26
21/01/2013,1499.28,1499.28,1499.28,1499.28
18/01/2013,1499.08,1499.08,1499.08,1499.08
17/01/2013,1500.18,1500.18,1500.18,1500.18
16/01/2013,1506.25,1506.25,1506.25,1506.25
15/01/2013,1507.13,1507.13,1507.13,1507.13
14/01/2013,1501.8,1501.8,1501.8,1501.8
11/01/2013,1502.92,1497.11,1495.6,1496.34
10/01/2013,1499.61,1496.31,1485.18,1485.21
9/01/2013,1490.8,1485.14,1482.14,1482.15
8/01/2013,1494.81,1482.11,1481.29,1491.13
7/01/2013,1495.01,1491.13,1486.6,1491.22
4/01/2013,1500.48,1491.11,1481.23,1490.44
3/01/2013,1505.92,1490.44,1484.57,1505.82
2/01/2013,1507.5,1505.79,1480.87,1481.3
31/12/2012,1490.59,1481.3,1479.01,1488.49
28/12/2012,1493.4,1488.55,1487.07,1488.89
27/12/2012,1492.67,1488.89,1482.79,1484.39
26/12/2012,1488.18,1484.44,1483.26,1487.15
24/12/2012,1490.85,1485.16,1482.91,1485.33
21/12/2012,1497.78,1485.26,1484.08,1492.98
20/12/2012,1496.05,1493.03,1482.76,1482.77
19/12/2012,1483.73,1482.7,1476.49,1480.47
18/12/2012,1481.76,1480.48,1475.97,1480.14
17/12/2012,1480.55,1480.12,1474.45,1476.28
14/12/2012,1479.94,1475.89,1469.61,1469.97
13/12/2012,1474.2,1469.97,1467.26,1472.03
12/12/2012,1476.77,1472.02,1468.65,1476.77
11/12/2012,1477.89,1476.71,1472.84,1476.31
10/12/2012,1476.63,1476.24,1470.81,1471.35
7/12/2012,1473.96,1471.35,1458.19,1458.19
6/12/2012,1462.01,1458.19,1454.28,1461.35
5/12/2012,1467.39,1461.37,1459.19,1464.91
4/12/2012,1468.44,1464.85,1460.22,1466.24
3/12/2012,1472.1,1466.57,1459.58,1459.79
30/11/2012,1461.72,1459.79,1452.33,1454.37
29/11/2012,1455.82,1454.34,1439.89,1440.6
28/11/2012,1444.48,1440.5,1437.59,1443.61
27/11/2012,1448.13,1443.41,1442.23,1442.6
26/11/2012,1446.02,1442.27,1439.97,1444.31
23/11/2012,1446.23,1444.32,1429.6,1430.9
21/11/2012,1422.8,1418.97,1414.37,1418.13
20/11/2012,1424.5,1417.84,1414.56,1422.6
19/11/2012,1422.6,1422.6,1399.71,1399.71
16/11/2012,1412.86,1399.51,1398.53,1410.21
15/11/2012,1420.1,1410.18,1408.1,1418.59
14/11/2012,1427.9,1418.65,1416.2,1418.16
13/11/2012,1420.7,1418.1,1410.29,1420.5
12/11/2012,1423.59,1420.47,1415.8,1418.68
9/11/2012,1429.24,1418.58,1415.87,1428.46
8/11/2012,1439.16,1428.52,1428.41,1439.16
7/11/2012,1454.24,1439.21,1437.68,1442.76
6/11/2012,1445.61,1442.77,1436.57,1437.76
5/11/2012,1447.91,1437.8,1436.64,1445.46
2/11/2012,1453.55,1445.35,1443.53,1449.92
1/11/2012,1451.6,1449.84,1443.39,1446.44
31/10/2012,1453.32,1446.42,1445.49,1448.1
30/10/2012,1448.08,1448,1438.98,1448
29/10/2012,1449.22,1445.09,1440.07,1440.07
26/10/2012,1442.85,1440.06,1432.62,1441.23
25/10/2012,1443.43,1441.21,1428.14,1428.14
24/10/2012,1429.88,1428.09,1423.68,1426.12
23/10/2012,1442.55,1426.14,1424.28,1437.29
22/10/2012,1441.15,1437.29,1434.39,1440.3
19/10/2012,1445.98,1441.83,1440.48,1443.81
18/10/2012,1451.12,1443.79,1442.62,1448.29
17/10/2012,1448.48,1448.29,1433.76,1434.1
16/10/2012,1434.94,1434.08,1420.2,1420.27
15/10/2012,1424.18,1420.23,1411.64,1414.62
12/10/2012,1416.25,1414.6,1411.55,1413.22
11/10/2012,1413.83,1413.24,1402.22,1404.49
10/10/2012,1405.06,1404.51,1398.37,1402.84
9/10/2012,1409.38,1402.73,1400.75,1403.19
8/10/2012,1413.53,1403.21,1401.56,1413
5/10/2012,1415.64,1413,1403.79,1405.32
4/10/2012,1408.56,1405.3,1394.24,1394.46
3/10/2012,1402.84,1394.48,1392.6,1400.05
2/10/2012,1403.36,1400.05,1395.19,1398.19
1/10/2012,1402.27,1398.14,1387.26,1394.71
28/09/2012,1408.3,1394.66,1391.41,1399.96
27/09/2012,1406.14,1399.94,1394.34,1396.48
26/09/2012,1407.22,1396.48,1394.53,1405.71
25/09/2012,1409.68,1405.76,1396.85,1396.88
24/09/2012,1402.6,1396.85,1391.9,1400.15
21/09/2012,1407.44,1400.12,1395.53,1396.93
20/09/2012,1403.48,1396.93,1393.64,1402.61
19/09/2012,1405.62,1402.61,1398.7,1401.73
18/09/2012,1410.77,1401.75,1399.57,1410.62
17/09/2012,1415.23,1410.58,1407.02,1414.52
14/09/2012,1420.67,1414.56,1394.11,1394.11
13/09/2012,1403.14,1394.11,1390.83,1395.78
12/09/2012,1398.4,1395.76,1386.38,1386.38
11/09/2012,1387.8,1386.38,1378.6,1383.29
10/09/2012,1396.61,1383.27,1380.89,1396.57
7/09/2012,1398.7,1396.61,1381.32,1381.34
6/09/2012,1382.27,1381.32,1362.8,1363.06
5/09/2012,1363.87,1363.04,1355.08,1355.54
4/09/2012,1368.3,1355.56,1354.98,1365.38
31/08/2012,1366.27,1360.96,1351.75,1356.9
30/08/2012,1364.56,1356.92,1354.71,1364.21
29/08/2012,1369.58,1364.19,1362.01,1362.01
