Timestamp,Trade Close
30/06/1997,1524.41
27/06/1997,1505.65
26/06/1997,1496.94
25/06/1997,1487.33
24/06/1997,1486.74
23/06/1997,1491.24
20/06/1997,1494.44
19/06/1997,1501.33
18/06/1997,1496.21
17/06/1997,1495.78
16/06/1997,1501.59
13/06/1997,1497.64
12/06/1997,1474.59
11/06/1997,1464.34
10/06/1997,1459.51
9/06/1997,1455.45
6/06/1997,1453.09
5/06/1997,1445.23
4/06/1997,1443.21
3/06/1997,1445.38
2/06/1997,1446.36
30/05/1997,1444.9
29/05/1997,1438.21
28/05/1997,1440.53
27/05/1997,1437.86
26/05/1997,1440.7
23/05/1997,1440.7
22/05/1997,1434.69
21/05/1997,1435.03
20/05/1997,1437.57
19/05/1997,1437.23
16/05/1997,1433.14
15/05/1997,1435.2
14/05/1997,1429.58
13/05/1997,1424.73
12/05/1997,1427.72
9/05/1997,1425
8/05/1997,1420.88
7/05/1997,1424.88
6/05/1997,1437.02
5/05/1997,1440.41
2/05/1997,1428.83
1/05/1997,1409.69
30/04/1997,1402.98
29/04/1997,1405.78
28/04/1997,1387
25/04/1997,1387.4
24/04/1997,1388.28
23/04/1997,1396.97
22/04/1997,1405.51
21/04/1997,1409.49
18/04/1997,1413.3
17/04/1997,1408.6
16/04/1997,1415.64
15/04/1997,1419.84
14/04/1997,1410.02
11/04/1997,1423.66
10/04/1997,1438.57
9/04/1997,1442.26
8/04/1997,1442.99
7/04/1997,1438.94
4/04/1997,1423.93
3/04/1997,1422.75
2/04/1997,1434.29
1/04/1997,1447.12
31/03/1997,1456.3
28/03/1997,1483.98
27/03/1997,1483.98
26/03/1997,1501
25/03/1997,1495.75
24/03/1997,1491.67
21/03/1997,1490.7
20/03/1997,1494.75
19/03/1997,1492.08
18/03/1997,1488.15
17/03/1997,1493.87
14/03/1997,1499.87
13/03/1997,1494.1
12/03/1997,1500.84
11/03/1997,1505.99
10/03/1997,1503.3
7/03/1997,1497.49
6/03/1997,1485.41
5/03/1997,1473.9
4/03/1997,1467.05
3/03/1997,1457.5
28/02/1997,1445.31
27/02/1997,1444.01
26/02/1997,1448.25
25/02/1997,1453.38
24/02/1997,1450.32
21/02/1997,1450.94
20/02/1997,1454.49
19/02/1997,1460.45
18/02/1997,1459.94
17/02/1997,1454.99
14/02/1997,1454.99
13/02/1997,1456.11
12/02/1997,1449.87
11/02/1997,1449.1
10/02/1997,1450.39
7/02/1997,1453.76
6/02/1997,1442.6
5/02/1997,1440.23
4/02/1997,1447.91
3/02/1997,1453.82
31/01/1997,1450.44
30/01/1997,1441.35
29/01/1997,1434.49
28/01/1997,1435.41
27/01/1997,1438.07
24/01/1997,1447.36
23/01/1997,1457.73
22/01/1997,1458.36
21/01/1997,1460.43
20/01/1997,1458.2
17/01/1997,1455.84
16/01/1997,1450.92
15/01/1997,1450.21
14/01/1997,1447.81
13/01/1997,1437.7
10/01/1997,1428.59
9/01/1997,1427.62
8/01/1997,1421.49
7/01/1997,1418.3
6/01/1997,1412.7
3/01/1997,1404.92
2/01/1997,1409.93
1/01/1997,1441.8
31/12/1996,1441.8
30/12/1996,1427.67
27/12/1996,1420.09
26/12/1996,1403.61
25/12/1996,1394.68
24/12/1996,1394.68
23/12/1996,1388.45
20/12/1996,1384.68
19/12/1996,1381.81
18/12/1996,1354.77
17/12/1996,1349.01
16/12/1996,1345.44
13/12/1996,1354.22
12/12/1996,1343.76
11/12/1996,1335.93
10/12/1996,1339.91
9/12/1996,1326.45
6/12/1996,1309.34
5/12/1996,1310.71
4/12/1996,1306.86
3/12/1996,1307.68
2/12/1996,1297.53
29/11/1996,1291.21
28/11/1996,1287.51
27/11/1996,1287.51
26/11/1996,1281.73
25/11/1996,1285.34
22/11/1996,1278.78
21/11/1996,1281.22
20/11/1996,1287.91
19/11/1996,1285.79
18/11/1996,1282.14
15/11/1996,1277.22
14/11/1996,1276.44
13/11/1996,1276.77
12/11/1996,1274.35
11/11/1996,1270.16
8/11/1996,1268.32
7/11/1996,1260.57
6/11/1996,1260.26
5/11/1996,1249.7
4/11/1996,1243.35
1/11/1996,1240.12
31/10/1996,1232.35
30/10/1996,1220.95
29/10/1996,1224.42
28/10/1996,1222.34
25/10/1996,1225.98
24/10/1996,1223.18
23/10/1996,1220.93
22/10/1996,1217.15
21/10/1996,1217.29
18/10/1996,1217.38
17/10/1996,1217.86
16/10/1996,1218.74
15/10/1996,1218.1
14/10/1996,1219.67
11/10/1996,1216.7
10/10/1996,1211.93
9/10/1996,1213.05
8/10/1996,1216.57
7/10/1996,1215.94
4/10/1996,1217.26
3/10/1996,1210.27
2/10/1996,1206.95
1/10/1996,1205.32
30/09/1996,1200.59
27/09/1996,1197.41
26/09/1996,1196.77
25/09/1996,1190.23
24/09/1996,1186.73
23/09/1996,1186.77
20/09/1996,1189.85
19/09/1996,1187.04
18/09/1996,1186.64
17/09/1996,1191.85
16/09/1996,1193.18
13/09/1996,1189.46
12/09/1996,1186.22
11/09/1996,1184.36
10/09/1996,1186.7
9/09/1996,1180.7
6/09/1996,1175.11
5/09/1996,1172.54
4/09/1996,1175.14
3/09/1996,1173.96
2/09/1996,1171.75
30/08/1996,1171.75
29/08/1996,1171.8
28/08/1996,1168.77
27/08/1996,1169.74
26/08/1996,1165.74
23/08/1996,1167.13
22/08/1996,1167.6
21/08/1996,1163.21
20/08/1996,1163.1
19/08/1996,1159.8
16/08/1996,1154.57
15/08/1996,1151.7
14/08/1996,1151.16
13/08/1996,1150.14
12/08/1996,1147.81
9/08/1996,1145.19
8/08/1996,1144.95
7/08/1996,1144.02
6/08/1996,1142.76
5/08/1996,1145.96
