Timestamp,Trade High,Trade Close,Trade Low,Trade Open
30/08/2013,3854.93,3840.51,3837.46,3852.51
29/08/2013,3871.7,3852.34,3844.14,3869.15
28/08/2013,3893.83,3868.66,3856.76,3871.46
27/08/2013,3920.13,3868.95,3868.95,3919.32
26/08/2013,3943.62,3918.5,3908.19,3908.21
23/08/2013,3912.2,3908.09,3868.75,3873.15
22/08/2013,3881.67,3873.14,3818.81,3828.51
21/08/2013,3878.49,3831.14,3826.41,3878.49
20/08/2013,3889.15,3879.27,3852.11,3880.36
19/08/2013,3917.69,3879.88,3877.84,3915.03
16/08/2013,3944.2,3915.19,3911.6,3935.02
15/08/2013,3940.86,3930.42,3880,3933.9
14/08/2013,3937.12,3924.65,3906.01,3913.64
13/08/2013,3918.6,3910.34,3900.6,3903.04
12/08/2013,3904.31,3904.31,3867.35,3872.95
9/08/2013,3878.53,3871.95,3850.06,3851.33
8/08/2013,3854.54,3849.06,3771.59,3773.15
7/08/2013,3779.93,3773.57,3761.9,3778.33
6/08/2013,3834.04,3776.34,3770.07,3833.03
5/08/2013,3847.19,3830.11,3823.02,3840.04
2/08/2013,3851.61,3839.7,3832.46,3837.17
1/08/2013,3852.46,3838.09,3814.78,3816.49
31/07/2013,3852.75,3814.04,3814.04,3852.47
30/07/2013,3956.29,3852.9,3834.67,3954.6
29/07/2013,3961.7,3954.47,3935.19,3957.64
26/07/2013,3969.99,3957.24,3931.96,3958.8
25/07/2013,3969.87,3958.48,3931.79,3969.87
24/07/2013,4026.78,3971.25,3958,4024.77
23/07/2013,4030.11,4023.07,4003.26,4003.85
22/07/2013,4009.51,4003.96,3974.9,3975.17
19/07/2013,3975.34,3974.94,3940.07,3946.37
18/07/2013,3959.92,3944.42,3927.72,3936.28
17/07/2013,3956.86,3933.41,3918.71,3920.99
16/07/2013,3931.65,3919.61,3910.17,3914.52
15/07/2013,3922.43,3913.65,3903.81,3911.07
12/07/2013,3934.29,3910.51,3898.76,3925.94
11/07/2013,3930.22,3923.29,3829.3,3829.3
10/07/2013,3839.15,3820.32,3814.7,3825.08
9/07/2013,3827.96,3822.5,3771.31,3772.59
8/07/2013,3786.66,3770.79,3744.75,3752.88
5/07/2013,3782.38,3752.9,3731.23,3778.97
4/07/2013,3785.46,3779.11,3760.18,3760.88
3/07/2013,3770.58,3759,3737.58,3770.58
2/07/2013,3795.59,3772.35,3755.83,3782.06
1/07/2013,3793.67,3781.3,3761.45,3765.59
28/06/2013,3775.43,3765.29,3739.85,3747.78
27/06/2013,3769.39,3746.67,3734.25,3734.53
26/06/2013,3744.83,3732.54,3721.21,3734.1
25/06/2013,3747.15,3731.37,3703.54,3708.13
24/06/2013,3786.07,3705.6,3688.75,3784.6
21/06/2013,3809.17,3784.1,3757.59,3796.49
20/06/2013,3930.25,3795.62,3789.11,3930.25
19/06/2013,3975.68,3938.31,3920.36,3975.6
18/06/2013,3971.3,3965.11,3946.23,3954.62
17/06/2013,3966.48,3954.34,3934.51,3934.78
14/06/2013,3969.5,3934.76,3932.05,3949.26
13/06/2013,3954.99,3947.61,3890.5,3909.45
12/06/2013,3950.93,3911.2,3903.91,3926.56
11/06/2013,3986.96,3923.47,3919.12,3985.13
10/06/2013,3991.01,3985.34,3970.55,3980.06
7/06/2013,3985.77,3979.29,3959.59,3972.23
6/06/2013,3975.73,3975.73,3941.74,3965.63
5/06/2013,4019.3,3964.37,3962.9,4018.99
4/06/2013,4055.4,4018.15,4001.57,4055.4
3/06/2013,4028.83,4028.83,3992.74,4002.61
31/05/2013,4072.21,4002.43,3999.53,4070.65
30/05/2013,4077.79,4068.8,4042.89,4048.1
29/05/2013,4052.77,4046.56,4015.31,4052.77
28/05/2013,4056.95,4039.39,4014.64,4020.01
27/05/2013,4020.93,4020,4014.15,4018.27
24/05/2013,4041.95,4017.48,4008.09,4037.11
23/05/2013,4058.94,4036.93,4004.69,4058.83
22/05/2013,4123.86,4061.04,4046.8,4088.43
21/05/2013,4111.14,4087.23,4076.89,4084.21
20/05/2013,4088.25,4081.58,4058.78,4060.47
17/05/2013,4058.29,4057.89,4024.31,4055.64
16/05/2013,4080.54,4057.24,4043.78,4071.98
15/05/2013,4105.59,4070.3,4058.69,4105.59
14/05/2013,4105.65,4104.34,4076.65,4089.97
13/05/2013,4118.21,4087.06,4080.16,4114.93
10/05/2013,4141.26,4116.43,4092.72,4128.43
9/05/2013,4165.77,4146.87,4128.12,4162.11
8/05/2013,4160.34,4160.34,4104.11,4104.74
7/05/2013,4106.81,4101.73,4078.82,4081.22
6/05/2013,4086.09,4080.63,4070.6,4072.71
3/05/2013,4088.24,4073.01,4015.9,4017.19
2/05/2013,4027.66,4019.39,3990.89,4026.97
1/05/2013,4062.43,4010.59,4008.94,4055.81
30/04/2013,4056.39,4055.64,4010.38,4034.05
29/04/2013,4037.84,4031.7,3979.94,3980.23
26/04/2013,4020.41,3980.73,3973.32,4013.9
25/04/2013,4039.07,4014.25,3975.86,3975.86
24/04/2013,3975.07,3969.09,3901.27,3903.36
23/04/2013,3906.15,3903.9,3874.19,3884.58
22/04/2013,3890.01,3883.87,3847.79,3870.28
19/04/2013,3884.57,3870.01,3847.35,3848.47
18/04/2013,3859.35,3848.47,3821.18,3834.33
17/04/2013,3914.26,3834.27,3825.51,3908.67
16/04/2013,3926.83,3907.79,3874.32,3888.04
15/04/2013,4033.88,3887.84,3881.41,4033.58
12/04/2013,4104.47,4034.16,4022.44,4102.63
11/04/2013,4109.81,4102.49,4085.4,4095.54
10/04/2013,4109.84,4094.92,4094.92,4096.25
9/04/2013,4107.74,4095.73,4043.68,4043.68
8/04/2013,4047.72,4042.52,4033.21,4035.81
5/04/2013,4056.21,4035.85,4014.94,4049.3
4/04/2013,4060.45,4049.28,4032.31,4049.71
3/04/2013,4094.38,4049.77,4038.67,4093.79
2/04/2013,4128.52,4092.44,4085.76,4125.09
1/04/2013,4134.37,4125.09,4118.21,4129.55
28/03/2013,4145.97,4132.45,4127.98,4142
27/03/2013,4144.35,4140.61,4102.46,4136.21
26/03/2013,4136.28,4135.49,4107.66,4111.7
25/03/2013,4153.85,4109.86,4101.76,4138.76
22/03/2013,4147.86,4138.9,4121.42,4128.29
21/03/2013,4148.93,4128.29,4126.91,4147.02
20/03/2013,4157.43,4147.07,4136.02,4140.45
19/03/2013,4182.63,4140.19,4122.62,4179.41
18/03/2013,4218.75,4179.18,4173.6,4218.75
15/03/2013,4224.08,4217.44,4207.67,4214.66
14/03/2013,4217.99,4210.67,4181.9,4185.73
